Año y Trimestre,Comunidad de Madrid,España
2015 T1,8.23,13.37
2015 T2,8.03,12.37
2015 T3,7.85,11.76
2015 T4,7.44,11.62
2016 T1,7.86,12.01
2016 T2,7.55,11.14
2016 T3,7.64,10.75
2016 T4,6.73,10.36
2017 T1,6.28,10.44
2017 T2,6.38,9.55
2017 T3,5.84,8.94
2017 T4,6.8,9.06
2018 T1,6.58,9.3
2018 T2,5.97,8.32
2018 T3,6.22,8.11
2018 T4,5.69,7.86
2019 T1,5.45,8.14
2019 T2,4.87,7.4
2019 T3,4.73,7.51
2019 T4,4.47,7.49
2020 T1,4.51,7.94
2020 T2,5.87,8.67
2020 T3,5.67,8.72
2020 T4,6.28,8.85
2021 T1,6.07,9.07
2021 T2,5.52,8.51
2021 T3,5,8.21
2021 T4,4.93,7.46
